Ссылка,Город,Цена в месяц,Оплата ЖКХ,Срок аренды,Условия проживания,Комиссия,Предоплата,Залог,Метро,Холодильник,Стиральная машина,Мебель в комнатах,Мебель на кухне,Телевизор,Интернет,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Тип дома,Тип перекрытий,Парковка,Санузел,Вид из окон,Количество лифтов,Год постройки,Подъезды,Ремонт,Отопление,Аварийность,Газоснабжение,Мусоропровод
https://www.cian.ru/rent/flat/294428443/,Москва,55000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,55000,Рязанский проспект,True,True,True,True,True,True,,45,25,8,2.6,Монолитный,Железобетонные,Подземная,1 совмещенный,Во двор,"1 пассажирский, 1 грузовой",2021,8,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294390966/,Москва,55000,включена (без счётчиков),от года,,50%,1 месяц,55000,Планерная,True,True,True,True,True,True,,36,20,8,2.64,Панельный,Железобетонные,Наземная,1 совмещенный,Во двор,1 пассажирский,1967,8,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/294069308/,Москва,55000,включена (без счётчиков),от года,можно с детьми и животными,70%,1 месяц,55000,Филатов Луг,True,True,True,True,False,False,,60,33,17,,Монолитный,Железобетонные,Наземная,2 раздельных,На улицу и двор,"2 пассажирских, 2 грузовых",2022,5,Евроремонт,Центральное,Нет,,
https://www.cian.ru/rent/flat/294381458/,Москва,55000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,55000,Беломорская,True,True,True,True,True,True,,62,36,8,2.64,Блочный,Железобетонные,Наземная,1 совмещенный,Во двор,"1 пассажирский, 1 грузовой",1963,1,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/253514447/,Москва,55000,включена (без счётчиков),от года,можно с детьми,50%,1 месяц,55000,Щукинская,True,True,True,True,True,True,,59,,9,,Монолитный,Железобетонные,Наземная,1 раздельный,Во двор,"3 пассажирских, 1 грузовой",2004,5,Косметический,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294428370/,Москва,55000,включена (без счётчиков),от года,можно с детьми,80%,1 месяц,55000,Коммунарка,True,True,True,True,True,True,,60,,,3.0,,Железобетонные,Наземная,,,"1 пассажирский, 1 грузовой",2016,5,Косметический,Индивидуальный тепловой пункт,Нет,,Нет
https://www.cian.ru/rent/flat/294451002/,Москва,55000,включена (без счётчиков),от года,можно с детьми,40%,1 месяц,55000,Люблино,True,True,True,True,True,True,,"53,5",28,8,,Блочный,Железобетонные,Наземная,1 совмещенный,,"2 пассажирских, 1 грузовой",1980,2,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/258159075/,Москва,55000,включена (без счётчиков),от года,,60%,1 месяц,55000,Бабушкинская,True,True,True,True,True,True,,43,23,10,,Кирпичный,Железобетонные,Наземная,1 совмещенный,Во двор,"1 пассажирский, 1 грузовой",2006,1,Дизайнерский,Индивидуальный тепловой пункт,Нет,,Да
https://www.cian.ru/rent/flat/294356196/,Москва,55000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,55000,Люблино,True,True,True,True,True,True,,47,30,7,2.64,Панельный,Железобетонные,Наземная,1 совмещенный,Во двор,1 пассажирский,1974,6,Евроремонт,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/294418945/,Москва,55000,включена (без счётчиков),от года,,55%,1 месяц,55000,Бутырская,True,True,True,True,True,True,,35,25,7,2.64,Блочный,Железобетонные,Наземная,1 совмещенный,Во двор,2 пассажирских,1971,1,Дизайнерский,Центральное,Нет,Центральное,Да
https://www.cian.ru/rent/flat/294078459/,Москва,58000,включена (без счётчиков),от года,можно с детьми,55%,1 месяц,65000,Люблино,True,True,True,True,True,True,,"56,3",33,"9,6",2.65,Панельный,Железобетонные,Наземная,1 раздельный,На улицу,2 пассажирских,2002,4,Косметический,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/293809425/,Москва,55000,включена (без счётчиков),от года,,40%,1 месяц,55000,Пыхтино,True,True,True,True,True,True,,38,"19,5","7,1",2.74,Панельный,Железобетонные,,1 совмещенный,Во двор,"1 пассажирский, 1 грузовой",2013,7,Косметический,Индивидуальный тепловой пункт,Нет,,Да
https://www.cian.ru/rent/flat/294388109/,Москва,60000,включена (без счётчиков),от года,можно с детьми и животными,50%,1 месяц,60000,Рабочий посёлок,True,True,True,True,True,True,,30,16,5,2.9,Монолитный,Железобетонные,Наземная,1 совмещенный,Во двор,"2 пассажирских, 1 грузовой",2019,5,Евроремонт,Центральное,Нет,,Да
https://www.cian.ru/rent/flat/294506158/,Москва,58000,включена (без счётчиков),от года,,50%,1 месяц,58000,Нижегородская,True,True,True,True,False,True,,"34,1",14,"10,6",2.9,,Нет информации,Подземная,1 совмещенный,Во двор,"2 пассажирских, 2 грузовых",2022,2,Евроремонт,Нет информации,Нет,,Да
